molecule_chembl_id,canonical_smiles,standard_value,standard_units,pIC50
CHEMBL117615,CCN(C)C(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,4500.0,nM,5.346787486224656
CHEMBL102223,[N-]=[N+]=Nc1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,196.0,nM,6.707743928643524
CHEMBL118335,CCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,6000.0,nM,5.221848749616356
CHEMBL297527,CS(=O)(=O)Nc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N)cc2)cc1,2640.0,nM,5.578396073130169
CHEMBL119433,CN(C(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2)C1CC1,1000.0,nM,6.0
CHEMBL421608,CC1(C)CC(c2cc(C(C)(C)C)c3c(c2)C(C)(C)CO3)=NO1,200.0,nM,6.698970004336019
CHEMBL297788,CS(=O)(=O)Nc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(Br)cc2)cc1,230.0,nM,6.638272163982407
CHEMBL45247,CS(=O)(=O)Nc1ccc(-c2cc(C(F)F)nn2-c2ccc(Cl)cc2)cc1,150.0,nM,6.823908740944319
CHEMBL119472,CCCCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,220.0,nM,6.657577319177793
CHEMBL326295,CC(C)(C)c1cc(NN2CCC=N2)cc2c1OCC2(C)C,100000.0,nM,4.0
CHEMBL118839,CC(C)(C)c1cc(-c2cccs2)cc2c1OCC2(C)C,70.0,nM,7.154901959985743
CHEMBL119720,Cn1cccc1C(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,45.0,nM,7.346787486224656
CHEMBL422075,CC(C)(C)c1cc(C(=N)N2CCCC2)cc2c1OCC2(C)C,100000.0,nM,4.0
CHEMBL122065,CCCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,950.0,nM,6.022276394711152
CHEMBL44319,CS(=O)(=O)Nc1ccc(-c2cc(C(F)(F)F)nn2-c2ccccc2)cc1,2900.0,nM,5.5376020021010435
CHEMBL119418,CCCCCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,250.0,nM,6.6020599913279625
CHEMBL326365,CC(=O)Nc1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,3500.0,nM,5.455931955649724
CHEMBL332937,CC(C)(C)c1cc(C(=O)c2cccs2)cc2c1OCC2(C)C,38.0,nM,7.42021640338319
CHEMBL117911,CC(C)(C)c1cc(/C=C\c2cccs2)cc2c1OCC2(C)C,35.0,nM,7.455931955649724
CHEMBL320433,Cc1ccc(-c2cc(C(F)(F)F)n(-c3ccc(N=[N+]=[N-])cc3)n2)cc1,2630.0,nM,5.580044251510242
CHEMBL117682,CC(C)(C)c1cc(-c2csc(N=C(N)N)n2)cc2c1OCC2(C)C,9000.0,nM,5.045757490560675
CHEMBL326362,CC(C)(C)c1cc(/C=C2/SC(N)=NC2=O)cc2c1OCC2(C)C,3000.0,nM,5.522878745280337
CHEMBL309156,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccccc2F)cc1,6309573.44,nM,2.200000000330522
CHEMBL306673,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cccc(F)c2)cc1,1425607.59,nM,2.846000001097364
