molecule_chembl_id,canonical_smiles,standard_value,standard_units,pIC50,mol,MolWt,LogP,HDonors,HAcceptors,TPSA
CHEMBL4289235,C[Si](C)(C)c1onc(-c2ccccc2)c1-c1ccc(S(C)(=O)=O)cc1,4170.0,nM,5.379863945026242,<rdkit.Chem.rdchem.Mol object at 0x000001624A71A9D0>,371.5340000000001,3.9573000000000027,0,4,60.17
CHEMBL4277907,C[Si](C)(C)c1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,130.0,nM,6.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x000001624A71AA40>,372.5220000000001,3.201200000000001,1,4,86.19
CHEMBL4285836,C[Si](C)(C)c1onc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,1870.0,nM,5.728158393463501,<rdkit.Chem.rdchem.Mol object at 0x000001624A71AAB0>,389.5240000000001,4.096400000000004,0,4,60.17
CHEMBL4282329,C[Si](C)(C)c1onc(-c2ccc(F)cc2)c1-c1ccc(S(N)(=O)=O)cc1,930.0,nM,6.031517051446065,<rdkit.Chem.rdchem.Mol object at 0x000001624A71AB20>,390.5120000000001,3.340300000000001,1,4,86.19
CHEMBL4282434,CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)noc2C(=O)c2ccccc2)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A71AB90>,421.4490000000001,4.782200000000004,0,5,77.24000000000001
CHEMBL4278833,CC(=O)c1onc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A71AC00>,359.37800000000004,3.7538000000000027,0,5,77.24000000000001
CHEMBL4278979,COC(=O)c1onc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,100000.0,nM,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001624A71AC70>,375.3770000000001,3.3378000000000014,0,6,86.47
CHEMBL4278439,CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)noc2C=O)cc1,13777.0,nM,4.860845341593096,<rdkit.Chem.rdchem.Mol object at 0x000001624A71ACE0>,345.35100000000006,3.3637000000000024,0,5,77.24000000000001
CHEMBL4294127,CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)noc2Cl)cc1,351.0,nM,6.454692883534176,<rdkit.Chem.rdchem.Mol object at 0x000001624A71AD50>,351.78600000000006,4.204600000000003,0,4,60.17
CHEMBL4286359,CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)noc2C(F)(F)F)cc1,8145.0,nM,5.089108911355472,<rdkit.Chem.rdchem.Mol object at 0x000001624A71ADC0>,385.338,4.570000000000002,0,4,60.17
